make,model,year,transmission,drive,date_range,fuel_type_summary,class_summary,cylinders,displ,co2,barrels08,fuelCost08
Porsche,Carrera 2 S Coupe,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.8,-1,15.65842105263158,3050
Porsche,Carrera 4 Cabriolet,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,16.528333333333336,3250
Porsche,Carrera 4 Cabriolet,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,16.528333333333336,3250
Porsche,Carrera 4 Cabriolet Kit,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,16.528333333333336,3250
Porsche,Carrera 4 Cabriolet Kit,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,16.528333333333336,3250
Porsche,Carrera 4 S Cabriolet,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,16.528333333333336,3250
Porsche,Carrera 4 S Cabriolet,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,16.528333333333336,3250
Porsche,Carrera 4 S Cabriolet Kit,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,16.528333333333336,3250
Porsche,Carrera 4 S Cabriolet Kit,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,16.528333333333336,3250
Porsche,Carrera 4 S Coupe,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,17.500588235294117,3450
Porsche,Carrera 4 S Coupe,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,16.528333333333336,3250
Porsche,Carrera 4 S Kit,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,17.500588235294117,3450
Porsche,Carrera 4 S Kit,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,16.528333333333336,3250
Porsche,Targa,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.6,-1,15.65842105263158,3050
Porsche,Targa,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.6,-1,15.65842105263158,3050
Porsche,Targa Kit,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.6,-1,15.65842105263158,3050
Porsche,Targa Kit,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.6,-1,15.65842105263158,3050
Porsche,Turbo 4 911 Turbo,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,18.594375,3650
Porsche,Turbo 4 911 Turbo,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,18.594375,3650
Porsche,Turbo 4 911 Cab,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,19.834,3900
Porsche,Turbo 4 911 Cab,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,18.594375,3650
Porsche,Turbo 4 911 Cab Kit,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,19.834,3900
Porsche,Turbo 4 911 Cab Kit,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,18.594375,3650
Porsche,Turbo 4 911 Turbo Cab S,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,19.834,3900
Porsche,Turbo 4 911 Turbo Cab S,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,18.594375,3650
Porsche,Turbo 4 911 Kit,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,18.594375,3650
Porsche,Turbo 4 911 Kit,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,18.594375,3650
Porsche,Turbo 4 911 S,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.6,-1,18.594375,3650
Porsche,Turbo 4 911 S,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.6,-1,18.594375,3650
Volkswagen,New Beetle Convertible,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,2450
Volkswagen,New Beetle Convertible,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.52318181818182,2650
Volkswagen,New Beetle Convertible,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Volkswagen,New Beetle Convertible,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Acura,RSX,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.442692307692308,1700
Acura,RSX,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,2550
Acura,RSX,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750
Audi,A4 Cabriolet,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,2550
Audi,A4 Cabriolet,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Audi,A4 Cabriolet quattro,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.0,-1,15.65842105263158,3050
Audi,S4 Cabriolet,2005,Manual,4WD,2000-2010,Gas,Car,8.0,4.2,-1,18.594375,3650
Audi,S4 Cabriolet,2005,Automatic,4WD,2000-2010,Gas,Car,8.0,4.2,-1,18.594375,3650
BMW,325ci,2005,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2800
BMW,325ci,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2900
BMW,330ci,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
BMW,330ci,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.8755,2900
BMW,330ci,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
BMW,645ci,2005,Manual,2WD,2000-2010,Gas,Car,8.0,4.4,-1,16.528333333333336,3250
BMW,645ci,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,15.65842105263158,3050
BMW,645ci,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,17.500588235294117,3450
BMW,645ci Convertible,2005,Manual,2WD,2000-2010,Gas,Car,8.0,4.4,-1,18.594375,3650
BMW,645ci Convertible,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,15.65842105263158,3050
BMW,645ci Convertible,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,18.594375,3650
BMW,M3,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,17.500588235294117,3450
BMW,M3,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,17.500588235294117,3450
Chevrolet,Cobalt,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,2550
Chevrolet,Cobalt,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.39625,1850
Chevrolet,Cobalt,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,11.9004,1750
Ford,Mustang,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,4.0,-1,15.65842105263158,2300
Ford,Mustang,2005,Manual,2WD,2000-2010,Gas,Car,6.0,4.0,-1,14.8755,2200
Ford,Mustang,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,16.528333333333336,2450
Ford,Mustang,2005,Manual,2WD,2000-2010,Gas,Car,8.0,4.6,-1,16.528333333333336,2450
Hyundai,Tiburon,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Hyundai,Tiburon,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,1900
Hyundai,Tiburon,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,2.7,-1,15.65842105263158,2300
Hyundai,Tiburon,2005,Manual,2WD,2000-2010,Gas,Car,6.0,2.7,-1,14.8755,2200
Hyundai,Tiburon,2005,Manual,2WD,2000-2010,Gas,Car,6.0,2.7,-1,15.65842105263158,2300
Jaguar,XK8,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.2,-1,15.65842105263158,3050
Jaguar,XKR,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.2,-1,17.500588235294117,3450
Maserati,Coupe and Gransport,2005,Manual,2WD,2000-2010,Gas,Car,8.0,4.2,-1,24.7925,4850
Maserati,Coupe and Gransport,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,4.2,-1,24.7925,4850
Mazda,RX-8,2005,Manual,2WD,2000-2010,Gas,Car,2.0,1.3,-1,16.528333333333336,3250
Mazda,RX-8,2005,Automatic,2WD,2000-2010,Gas,Car,2.0,1.3,-1,16.528333333333336,3250
Mercedes-Benz,CLK320,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,14.167142857142858,2800
Mercedes-Benz,CLK320 (Cabriolet),2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,14.8755,2900
Mercedes-Benz,CLK500,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.0,-1,16.528333333333336,3250
Mercedes-Benz,CLK500 (Cabriolet),2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.0,-1,16.528333333333336,3250
Mercedes-Benz,CLK55 AMG,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.4,-1,17.500588235294117,3450
Mercedes-Benz,CLK55 AMG (Cabriolet),2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.4,-1,18.594375,3650
Mitsubishi,Eclipse,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.167142857142858,2100
Mitsubishi,Eclipse,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900
Mitsubishi,Eclipse,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.167142857142858,2100
Mitsubishi,Eclipse,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Mitsubishi,Eclipse,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Mitsubishi,Eclipse,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Mitsubishi,Eclipse,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Saab,9-3 Convertible,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2650
Saab,9-3 Convertible,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,15.65842105263158,3050
Subaru,Impreza AWD,2005,Automatic,4WD,2000-2010,Gas,Car,4.0,2.0,-1,14.8755,2900
Subaru,Impreza AWD,2005,Manual,4WD,2000-2010,Gas,Car,4.0,2.0,-1,14.8755,2900
Subaru,Impreza AWD,2005,Automatic,4WD,2000-2010,Gas,Car,4.0,2.5,-1,13.52318181818182,2000
Subaru,Impreza AWD,2005,Manual,4WD,2000-2010,Gas,Car,4.0,2.5,-1,12.935217391304349,1900
Subaru,Impreza AWD,2005,Manual,4WD,2000-2010,Gas,Car,4.0,2.5,-1,16.528333333333336,3250
Toyota,Celica,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,10.625357142857142,1600
Toyota,Celica,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.442692307692308,1700
Toyota,Celica,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.9004,2350
Toyota,Celica,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,2450
Scion,tC,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900
Scion,tC,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,13.52318181818182,2000
Scion,xA,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,9.917,1450
Scion,xA,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.5,-1,9.917,1450
Volkswagen,New Beetle,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,2450
Volkswagen,New Beetle,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.52318181818182,2650
Volkswagen,New Beetle,2005,Manual,2WD,2000-2010,Diesel,Car,4.0,1.9,-1,10.205571428571428,1550
Volkswagen,New Beetle,2005,Automatic,2WD,2000-2010,Diesel,Car,4.0,1.9,-1,10.82409090909091,1650
Volkswagen,New Beetle,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Volkswagen,New Beetle,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,1900
Acura,TSX,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,13.52318181818182,2650
Acura,TSX,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,2550
Audi,A4,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,2550
Audi,A4,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,2550
Audi,A4,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,13.52318181818182,2650
Audi,A4 quattro,2005,Manual,4WD,2000-2010,Gas,Car,4.0,1.8,-1,13.52318181818182,2650
Audi,A4 quattro,2005,Automatic,4WD,2000-2010,Gas,Car,4.0,1.8,-1,14.167142857142858,2800
Audi,A4 quattro,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.0,-1,15.65842105263158,3050
Audi,A4 quattro,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.0,-1,15.65842105263158,3050
Audi,S4,2005,Manual,4WD,2000-2010,Gas,Car,8.0,4.2,-1,18.594375,3650
Audi,S4,2005,Automatic,4WD,2000-2010,Gas,Car,8.0,4.2,-1,18.594375,3650
Bentley,Continental GT,2005,Automatic,4WD,2000-2010,Gas,Car,12.0,6.0,-1,24.7925,4850
BMW,325i,2005,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2800
BMW,325i,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2900
BMW,325xi,2005,Manual,4WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2900
BMW,325xi,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2900
BMW,330i,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
BMW,330i,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.8755,2900
BMW,330i,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
BMW,330xi,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
BMW,330xi,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.0,-1,15.65842105263158,3050
Chevrolet,Aveo,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.442692307692308,1700
Chevrolet,Aveo,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.018888888888888,1650
Chevrolet,Aveo 5,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.442692307692308,1700
Chevrolet,Aveo 5,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.018888888888888,1650
Chevrolet,Cavalier,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,11.9004,1750
Chevrolet,Cavalier,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,11.442692307692308,1700
Chevrolet,Optra,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Chevrolet,Optra,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Chevrolet,Optra 5,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Chevrolet,Optra 5,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Chrysler,Sebring,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.167142857142858,2100
Chrysler,Sebring,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.39625,1850
Chrysler,Sebring,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Chrysler,Sebring,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Chrysler,Sebring,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Chrysler,Sebring Convertible,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,13.52318181818182,2000
Dodge,Neon/SRT-4/SX 2.0,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750
Dodge,Neon/SRT-4/SX 2.0,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,10.625357142857142,1600
Dodge,Neon/SRT-4/SX 2.0,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,13.52318181818182,2650
Dodge,Stratus,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.167142857142858,2100
Dodge,Stratus,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.39625,1850
Dodge,Stratus,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Dodge,Stratus,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Dodge,Stratus,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Ford,Focus,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750
Ford,Focus,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.442692307692308,1700
Ford,Focus,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.3,-1,12.935217391304349,1900
Honda,Civic,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.7,-1,9.2971875,1400
Honda,Civic,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.7,-1,10.25896551724138,1500
Honda,Civic,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.7,-1,9.917,1450
Honda,Civic,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.7,-1,9.917,1450
Honda,Civic,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.7,-1,8.750294117647059,1300
Honda,Civic,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.7,-1,9.917,1450
Honda,Civic,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750
Honda,Civic Hybrid,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.3,-1,7.43775,1100
Honda,Civic Hybrid,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.3,-1,7.256341463414635,1100
Honda,Civic Hybrid,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.3,-1,7.43775,1100
Honda,Civic Hybrid,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.3,-1,7.256341463414635,1100
Hyundai,Accent/Brio,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,11.442692307692308,1700
Hyundai,Accent/Brio,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.5,-1,10.625357142857142,1600
Hyundai,Accent/Brio,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.442692307692308,1700
Hyundai,Accent/Brio,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.018888888888888,1650
Infiniti,G35,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.5,-1,14.8755,2900
Infiniti,G35,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,15.65842105263158,2300
Infiniti,G35,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.5,-1,16.528333333333336,2450
Infiniti,G35,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,15.65842105263158,3050
Jaguar,X-Type,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,2.5,-1,15.65842105263158,3050
Jaguar,X-Type,2005,Manual,4WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2900
Jaguar,X-Type,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.0,-1,16.528333333333336,3250
Jaguar,X-Type,2005,Manual,4WD,2000-2010,Gas,Car,6.0,3.0,-1,15.65842105263158,3050
Kia,Rio,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,12.39625,1850
Kia,Rio,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.9004,1750
Lexus,IS 300,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.528333333333336,3250
Lexus,IS 300,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.528333333333336,3250
Mazda,3,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.018888888888888,1650
Mazda,3,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.442692307692308,1700
Mazda,3,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.3,-1,11.9004,1750
Mazda,3,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.3,-1,12.935217391304349,1900
Mercedes-Benz,C230 Kompressor,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,2450
Mercedes-Benz,C230 Kompressor,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,2550
Mercedes-Benz,C230 Kompressor Sports Coupe,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,2450
Mercedes-Benz,C230 Kompressor Sports Coupe,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,2550
Mercedes-Benz,C240 4matic,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,2.6,-1,15.65842105263158,3050
Mercedes-Benz,C320,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,15.65842105263158,3050
Mercedes-Benz,C320 4matic,2005,Automatic,4WD,2000-2010,Gas,Car,6.0,3.2,-1,14.8755,2900
Mercedes-Benz,C320 Sports Coupe,2005,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,16.528333333333336,3250
Mercedes-Benz,C55 AMG,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.4,-1,18.594375,3650
Mercedes-Benz,CL500,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.0,-1,17.500588235294117,3450
Mercedes-Benz,CL55 AMG,2005,Automatic,2WD,2000-2010,Gas,Car,8.0,5.4,-1,19.834,3900
Mercedes-Benz,CL600,2005,Automatic,2WD,2000-2010,Gas,Car,12.0,5.5,-1,21.250714285714285,4150
Mercedes-Benz,CL65 AMG,2005,Automatic,2WD,2000-2010,Gas,Car,12.0,6.0,-1,22.885384615384616,4500
Mitsubishi,Lancer,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Mitsubishi,Lancer,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.442692307692308,1700
Mitsubishi,Lancer,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,13.52318181818182,2000
Mitsubishi,Lancer,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900
Mitsubishi,Lancer Evolution,2005,Manual,4WD,2000-2010,Gas,Car,4.0,2.0,-1,15.65842105263158,3050
Mitsubishi,Lancer Evolution,2005,Manual,4WD,2000-2010,Gas,Car,4.0,2.0,-1,15.65842105263158,3050
Nissan,Sentra,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.018888888888888,1650
Nissan,Sentra,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.018888888888888,1650
Nissan,Sentra,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.5,-1,13.52318181818182,2000
Nissan,Sentra,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.5,-1,12.935217391304349,1900
Pontiac,G6,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,12.935217391304349,1900
Pontiac,G6,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,14.167142857142858,2100
Pontiac,Grand Am,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,11.9004,1750
Pontiac,Grand Am,2005,Automatic,2WD,2000-2010,Gas,Car,6.0,3.4,-1,14.167142857142858,2100
Pontiac,GTO,2005,Manual,2WD,2000-2010,Gas,Car,8.0,6.0,-1,16.528333333333336,3250
Pontiac,Sunfire,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,11.9004,1750
Pontiac,Sunfire,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,11.442692307692308,1700
Pontiac,Wave,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.442692307692308,1700
Pontiac,Wave,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.018888888888888,1650
Pontiac,Wave 5,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.442692307692308,1700
Pontiac,Wave 5,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.018888888888888,1650
Saab,9-3 Sport Sedan,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,2550
Saab,9-3 Sport Sedan,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Saab,9-3 Sport Sedan,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2650
Saab,9-3 Sport Sedan,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Saturn,Ion,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,2550
Saturn,Ion,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.39625,1850
Saturn,Ion,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,11.442692307692308,1700
Subaru,Legacy AWD,2005,Manual,4WD,2000-2010,Gas,Car,4.0,2.5,-1,15.65842105263158,3050
Subaru,Legacy AWD,2005,Manual,4WD,2000-2010,Gas,Car,4.0,2.5,-1,12.935217391304349,1900
Subaru,Legacy AWD,2005,Automatic,4WD,2000-2010,Gas,Car,4.0,2.5,-1,12.935217391304349,1900
Subaru,Legacy AWD,2005,Automatic,4WD,2000-2010,Gas,Car,4.0,2.5,-1,15.65842105263158,3050
Suzuki,Aerio,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.3,-1,12.39625,1850
Suzuki,Aerio,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.3,-1,12.39625,1850
Suzuki,Aerio AWD,2005,Automatic,4WD,2000-2010,Gas,Car,4.0,2.3,-1,12.935217391304349,1900
Suzuki,Forenza,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Suzuki,Forenza,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Suzuki,Reno,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Suzuki,Reno,2005,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Suzuki,Swift,2005,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.442692307692308,1700
Suzuki,Swift,2005,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.018888888888888,1650
