,make,model,year,cylinders,trany,displ,VClass,co2,barrels08,fuelCost08,fuelType,highway08,city08,comb08
3241,Volkswagen,Passat Wagon 4motion,2003.0,8.0,Automatic (S5),4.0,Midsize Station Wagons,-1.0,16.52833333,3250.0,Premium,23.0,16.0,18.0
3242,Volvo,V70 AWD,2003.0,5.0,Automatic (S5),2.5,Midsize Station Wagons,-1.0,15.65842105,3050.0,Premium,23.0,16.0,19.0
3243,Volvo,V70 FWD,2003.0,5.0,Manual 5-spd,2.3,Midsize Station Wagons,-1.0,14.8755,2900.0,Premium,24.0,17.0,20.0
3244,Volvo,V70 FWD,2003.0,5.0,Automatic (S5),2.3,Midsize Station Wagons,-1.0,14.8755,2900.0,Premium,24.0,17.0,20.0
3245,Volvo,V70 FWD,2003.0,5.0,Automatic 5-spd,2.4,Midsize Station Wagons,-1.0,13.52318182,2650.0,Premium,28.0,19.0,22.0
3246,Volvo,V70 FWD,2003.0,5.0,Automatic 5-spd,2.4,Midsize Station Wagons,-1.0,14.8755,2900.0,Premium,24.0,17.0,20.0
3247,Volvo,V70 FWD,2003.0,5.0,Manual 5-spd,2.4,Midsize Station Wagons,-1.0,13.52318182,2650.0,Premium,27.0,19.0,22.0
3248,Chevrolet,S10 Pickup 2WD,2003.0,4.0,Automatic 4-spd,2.2,Small Pickup Trucks 2WD,-1.0,15.65842105,2300.0,Regular,23.0,17.0,19.0
3249,Chevrolet,S10 Pickup 2WD,2003.0,4.0,Manual 5-spd,2.2,Small Pickup Trucks 2WD,-1.0,13.52318182,2000.0,Regular,25.0,19.0,22.0
3250,Chevrolet,S10 Pickup 2WD,2003.0,6.0,Automatic 4-spd,4.3,Small Pickup Trucks 2WD,-1.0,16.52833333,2450.0,Regular,21.0,15.0,18.0
3251,Chevrolet,S10 Pickup 2WD,2003.0,6.0,Manual 5-spd,4.3,Small Pickup Trucks 2WD,-1.0,17.50058824,2600.0,Regular,22.0,15.0,17.0
3252,GMC,Sonoma 2WD,2003.0,4.0,Automatic 4-spd,2.2,Small Pickup Trucks 2WD,-1.0,15.65842105,2300.0,Regular,23.0,17.0,19.0
3253,GMC,Sonoma 2WD,2003.0,4.0,Manual 5-spd,2.2,Small Pickup Trucks 2WD,-1.0,13.52318182,2000.0,Regular,25.0,19.0,22.0
3254,GMC,Sonoma 2WD,2003.0,6.0,Automatic 4-spd,4.3,Small Pickup Trucks 2WD,-1.0,17.50058824,2600.0,Regular,21.0,15.0,17.0
3255,GMC,Sonoma 2WD,2003.0,6.0,Manual 5-spd,4.3,Small Pickup Trucks 2WD,-1.0,17.50058824,2600.0,Regular,22.0,15.0,17.0
3256,Chevrolet,Silverado 1500 2WD,2003.0,6.0,Automatic 4-spd,4.3,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3257,Chevrolet,Silverado 1500 2WD,2003.0,6.0,Manual 5-spd,4.3,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3258,Chevrolet,Silverado 1500 2WD,2003.0,8.0,Automatic 4-spd,4.8,Standard Pickup Trucks 2WD,-1.0,19.834,2950.0,Regular,18.0,14.0,15.0
3259,Chevrolet,Silverado 1500 2WD,2003.0,8.0,Manual 5-spd,4.8,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3260,Chevrolet,Silverado 1500 2WD,2003.0,8.0,Automatic 4-spd,5.3,Standard Pickup Trucks 2WD,-1.0,19.834,2950.0,Regular,17.0,13.0,15.0
3261,Chevrolet,SSR Pickup 2WD,2003.0,8.0,Automatic 4-spd,5.3,Standard Pickup Trucks 2WD,-1.0,19.834,2950.0,Regular,18.0,14.0,15.0
3262,Dodge,Dakota Pickup 2WD,2003.0,6.0,Automatic 4-spd,3.9,Standard Pickup Trucks 2WD,-1.0,17.50058824,2600.0,Regular,17.0,16.0,17.0
3263,Dodge,Dakota Pickup 2WD,2003.0,6.0,Manual 5-spd,3.9,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3264,Dodge,Dakota Pickup 2WD,2003.0,8.0,Automatic 5-spd,4.7,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,18.0,14.0,16.0
3265,Dodge,Dakota Pickup 2WD,2003.0,8.0,Manual 5-spd,4.7,Standard Pickup Trucks 2WD,-1.0,19.834,2950.0,Regular,19.0,14.0,15.0
3266,Dodge,Dakota Pickup 2WD,2003.0,8.0,Automatic 4-spd,5.9,Standard Pickup Trucks 2WD,-1.0,21.25071429,3150.0,Regular,16.0,12.0,14.0
3267,Dodge,Ram 1500 Pickup 2WD,2003.0,6.0,Automatic 4-spd,3.7,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,18.0,14.0,16.0
3268,Dodge,Ram 1500 Pickup 2WD,2003.0,6.0,Manual 5-spd,3.7,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3269,Dodge,Ram 1500 Pickup 2WD,2003.0,8.0,Automatic 5-spd,4.7,Standard Pickup Trucks 2WD,-1.0,19.834,2950.0,Regular,18.0,13.0,15.0
3270,Dodge,Ram 1500 Pickup 2WD,2003.0,8.0,Manual 5-spd,4.7,Standard Pickup Trucks 2WD,-1.0,19.834,2950.0,Regular,18.0,13.0,15.0
3271,Dodge,Ram 1500 Pickup 2WD,2003.0,8.0,Automatic 5-spd,5.7,Standard Pickup Trucks 2WD,-1.0,21.25071429,3150.0,Regular,17.0,13.0,14.0
3272,Dodge,Ram 1500 Pickup 2WD,2003.0,8.0,Automatic 4-spd,5.9,Standard Pickup Trucks 2WD,-1.0,22.88538462,3400.0,Regular,16.0,12.0,13.0
3273,Ford,Explorer Sport Trac 2WD,2003.0,6.0,Automatic 5-spd,4.0,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,15.0,16.0
3274,Ford,Explorer Sport Trac 2WD,2003.0,6.0,Manual 5-spd,4.0,Standard Pickup Trucks 2WD,-1.0,17.50058824,2600.0,Regular,20.0,15.0,17.0
3275,Ford,F150 Pickup 2WD,2003.0,6.0,Automatic 4-spd,4.2,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3276,Ford,F150 Pickup 2WD,2003.0,6.0,Manual 5-spd,4.2,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,15.0,16.0
3277,Ford,F150 Pickup 2WD,2003.0,8.0,Automatic 4-spd,4.6,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3278,Ford,F150 Pickup 2WD,2003.0,8.0,Manual 5-spd,4.6,Standard Pickup Trucks 2WD,-1.0,19.834,2950.0,Regular,18.0,14.0,15.0
3279,Ford,F150 Pickup 2WD,2003.0,8.0,Automatic 4-spd,5.4,Standard Pickup Trucks 2WD,-1.0,19.834,2950.0,Regular,17.0,13.0,15.0
3280,Ford,F150 Pickup 2WD,2003.0,8.0,Automatic 4-spd,5.4,Standard Pickup Trucks 2WD,-1.0,22.88538462,4500.0,Premium,15.0,11.0,13.0
3281,Ford,Ranger Pickup 2WD,2003.0,4.0,Automatic 5-spd,2.3,Standard Pickup Trucks 2WD,-1.0,13.52318182,2000.0,Regular,24.0,20.0,22.0
3282,Ford,Ranger Pickup 2WD,2003.0,4.0,Manual 5-spd,2.3,Standard Pickup Trucks 2WD,-1.0,12.93521739,1900.0,Regular,26.0,21.0,23.0
3283,Ford,Ranger Pickup 2WD,2003.0,6.0,Automatic 5-spd,3.0,Standard Pickup Trucks 2WD,-1.0,17.50058824,2600.0,Regular,20.0,16.0,17.0
3284,Ford,Ranger Pickup 2WD,2003.0,6.0,Manual 5-spd,3.0,Standard Pickup Trucks 2WD,-1.0,16.52833333,2450.0,Regular,21.0,17.0,18.0
3285,Ford,Ranger Pickup 2WD,2003.0,6.0,Automatic 5-spd,4.0,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,15.0,16.0
3286,Ford,Ranger Pickup 2WD,2003.0,6.0,Manual 5-spd,4.0,Standard Pickup Trucks 2WD,-1.0,17.50058824,2600.0,Regular,20.0,15.0,17.0
3287,GMC,Sierra 1500 2WD,2003.0,6.0,Automatic 4-spd,4.3,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3288,GMC,Sierra 1500 2WD,2003.0,6.0,Manual 5-spd,4.3,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3289,GMC,Sierra 1500 2WD,2003.0,8.0,Automatic 4-spd,4.8,Standard Pickup Trucks 2WD,-1.0,19.834,2950.0,Regular,18.0,14.0,15.0
3290,GMC,Sierra 1500 2WD,2003.0,8.0,Manual 5-spd,4.8,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3291,GMC,Sierra 1500 2WD,2003.0,8.0,Automatic 4-spd,5.3,Standard Pickup Trucks 2WD,-1.0,19.834,2950.0,Regular,17.0,13.0,15.0
3292,Lincoln,Blackwood 2WD,2003.0,8.0,Automatic 4-spd,5.4,Standard Pickup Trucks 2WD,-1.0,22.88538462,4500.0,Premium,16.0,11.0,13.0
3293,Mazda,B2300 2WD,2003.0,4.0,Automatic 5-spd,2.3,Standard Pickup Trucks 2WD,-1.0,13.52318182,2000.0,Regular,24.0,20.0,22.0
3294,Mazda,B2300 2WD,2003.0,4.0,Manual 5-spd,2.3,Standard Pickup Trucks 2WD,-1.0,12.93521739,1900.0,Regular,26.0,21.0,23.0
3295,Mazda,B3000 2WD,2003.0,6.0,Automatic 5-spd,3.0,Standard Pickup Trucks 2WD,-1.0,17.50058824,2600.0,Regular,20.0,16.0,17.0
3296,Mazda,B3000 2WD,2003.0,6.0,Manual 5-spd,3.0,Standard Pickup Trucks 2WD,-1.0,16.52833333,2450.0,Regular,21.0,17.0,18.0
3297,Mazda,B4000 2WD,2003.0,6.0,Automatic 5-spd,4.0,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3298,Mazda,B4000 2WD,2003.0,6.0,Manual 5-spd,4.0,Standard Pickup Trucks 2WD,-1.0,17.50058824,2600.0,Regular,20.0,15.0,17.0
3299,Nissan,Frontier 2WD,2003.0,4.0,Automatic 4-spd,2.4,Standard Pickup Trucks 2WD,-1.0,15.65842105,2300.0,Regular,22.0,17.0,19.0
3300,Nissan,Frontier 2WD,2003.0,4.0,Manual 5-spd,2.4,Standard Pickup Trucks 2WD,-1.0,14.16714286,2100.0,Regular,23.0,20.0,21.0
3301,Nissan,Frontier V6 2WD,2003.0,6.0,Automatic 4-spd,3.3,Standard Pickup Trucks 2WD,-1.0,19.834,3900.0,Premium,17.0,14.0,15.0
3302,Nissan,Frontier V6 2WD,2003.0,6.0,Automatic 4-spd,3.3,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,15.0,16.0
3303,Nissan,Frontier V6 2WD,2003.0,6.0,Manual 5-spd,3.3,Standard Pickup Trucks 2WD,-1.0,19.834,3900.0,Premium,18.0,14.0,15.0
3304,Nissan,Frontier V6 2WD,2003.0,6.0,Manual 5-spd,3.3,Standard Pickup Trucks 2WD,-1.0,17.50058824,2600.0,Regular,19.0,15.0,17.0
3305,Toyota,Tacoma 2WD,2003.0,4.0,Automatic 4-spd,2.4,Standard Pickup Trucks 2WD,-1.0,14.16714286,2100.0,Regular,23.0,19.0,21.0
3306,Toyota,Tacoma 2WD,2003.0,4.0,Manual 5-spd,2.4,Standard Pickup Trucks 2WD,-1.0,13.52318182,2000.0,Regular,25.0,20.0,22.0
3307,Toyota,Tacoma 2WD,2003.0,4.0,Automatic 4-spd,2.7,Standard Pickup Trucks 2WD,-1.0,16.52833333,2450.0,Regular,20.0,17.0,18.0
3308,Toyota,Tacoma 2WD,2003.0,6.0,Automatic 4-spd,3.4,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,19.0,15.0,16.0
3309,Toyota,Tacoma 2WD,2003.0,6.0,Manual 5-spd,3.4,Standard Pickup Trucks 2WD,-1.0,15.65842105,2300.0,Regular,22.0,17.0,19.0
3310,Toyota,Tundra 2WD,2003.0,6.0,Automatic 4-spd,3.4,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,18.0,15.0,16.0
3311,Toyota,Tundra 2WD,2003.0,6.0,Manual 5-spd,3.4,Standard Pickup Trucks 2WD,-1.0,18.594375,2750.0,Regular,18.0,15.0,16.0
3312,Toyota,Tundra 2WD,2003.0,8.0,Automatic 4-spd,4.7,Standard Pickup Trucks 2WD,-1.0,19.834,2950.0,Regular,17.0,13.0,15.0
3313,Chevrolet,Silverado 1500 4WD,2003.0,6.0,Automatic 4-spd,4.3,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,17.0,13.0,14.0
3314,Chevrolet,Silverado 1500 4WD,2003.0,6.0,Manual 5-spd,4.3,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,17.0,13.0,14.0
3315,Chevrolet,Silverado 1500 4WD,2003.0,8.0,Automatic 4-spd,4.8,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,16.0,13.0,14.0
3316,Chevrolet,Silverado 1500 4WD,2003.0,8.0,Manual 5-spd,4.8,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,17.0,13.0,14.0
3317,Chevrolet,Silverado 1500 4WD,2003.0,8.0,Automatic 4-spd,5.3,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,16.0,13.0,14.0
3318,Chevrolet,Silverado SS 1500 AWD,2003.0,8.0,Automatic 4-spd,6.0,Standard Pickup Trucks 4WD,-1.0,22.88538462,3400.0,Regular,15.0,12.0,13.0
3319,Chevrolet,S10 Pickup 4WD,2003.0,6.0,Automatic 4-spd,4.3,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,18.0,14.0,15.0
3320,Chevrolet,S10 Pickup 4WD,2003.0,6.0,Manual 5-spd,4.3,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,17.0,12.0,14.0
3321,Dodge,Dakota Pickup 4WD,2003.0,6.0,Automatic 4-spd,3.9,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,16.0,13.0,14.0
3322,Dodge,Dakota Pickup 4WD,2003.0,6.0,Manual 5-spd,3.9,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,18.0,14.0,15.0
3323,Dodge,Dakota Pickup 4WD,2003.0,8.0,Automatic 5-spd,4.7,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,17.0,13.0,14.0
3324,Dodge,Dakota Pickup 4WD,2003.0,8.0,Manual 5-spd,4.7,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,17.0,13.0,15.0
3325,Dodge,Dakota Pickup 4WD,2003.0,8.0,Automatic 4-spd,5.9,Standard Pickup Trucks 4WD,-1.0,22.88538462,3400.0,Regular,16.0,11.0,13.0
3326,Dodge,Ram 1500 Pickup 4WD,2003.0,8.0,Automatic 5-spd,4.7,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,16.0,13.0,14.0
3327,Dodge,Ram 1500 Pickup 4WD,2003.0,8.0,Manual 5-spd,4.7,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,16.0,12.0,14.0
3328,Dodge,Ram 1500 Pickup 4WD,2003.0,8.0,Automatic 5-spd,5.7,Standard Pickup Trucks 4WD,-1.0,22.88538462,3400.0,Regular,15.0,11.0,13.0
3329,Dodge,Ram 1500 Pickup 4WD,2003.0,8.0,Automatic 4-spd,5.9,Standard Pickup Trucks 4WD,-1.0,22.88538462,3400.0,Regular,15.0,11.0,13.0
3330,Ford,Explorer Sport Trac 4WD,2003.0,6.0,Automatic 5-spd,4.0,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,18.0,14.0,15.0
3331,Ford,Explorer Sport Trac 4WD,2003.0,6.0,Manual 5-spd,4.0,Standard Pickup Trucks 4WD,-1.0,18.594375,2750.0,Regular,18.0,15.0,16.0
3332,Ford,F150 Pickup 4WD,2003.0,6.0,Automatic 4-spd,4.2,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,17.0,14.0,15.0
3333,Ford,F150 Pickup 4WD,2003.0,6.0,Manual 5-spd,4.2,Standard Pickup Trucks 4WD,-1.0,18.594375,2750.0,Regular,18.0,15.0,16.0
3334,Ford,F150 Pickup 4WD,2003.0,8.0,Automatic 4-spd,4.6,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,17.0,13.0,15.0
3335,Ford,F150 Pickup 4WD,2003.0,8.0,Manual 5-spd,4.6,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,17.0,13.0,14.0
3336,Ford,F150 Pickup 4WD,2003.0,8.0,Automatic 4-spd,5.4,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,16.0,12.0,14.0
3337,Ford,Ranger Pickup 4WD,2003.0,6.0,Automatic 5-spd,3.0,Standard Pickup Trucks 4WD,-1.0,18.594375,2750.0,Regular,18.0,15.0,16.0
3338,Ford,Ranger Pickup 4WD,2003.0,6.0,Manual 5-spd,3.0,Standard Pickup Trucks 4WD,-1.0,17.50058824,2600.0,Regular,19.0,16.0,17.0
3339,Ford,Ranger Pickup 4WD,2003.0,6.0,Automatic 5-spd,4.0,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,17.0,14.0,15.0
3340,Ford,Ranger Pickup 4WD,2003.0,6.0,Manual 5-spd,4.0,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,17.0,14.0,15.0
3341,GMC,Sierra 1500 4WD,2003.0,6.0,Automatic 4-spd,4.3,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,17.0,13.0,15.0
3342,GMC,Sierra 1500 4WD,2003.0,6.0,Manual 5-spd,4.3,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,17.0,13.0,14.0
3343,GMC,Sierra 1500 4WD,2003.0,8.0,Automatic 4-spd,4.8,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,16.0,13.0,14.0
3344,GMC,Sierra 1500 4WD,2003.0,8.0,Manual 5-spd,4.8,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,16.0,13.0,14.0
3345,GMC,Sierra 1500 4WD,2003.0,8.0,Automatic 4-spd,5.3,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,16.0,13.0,14.0
3346,GMC,Sierra Denali 1500 AWD,2003.0,8.0,Automatic 4-spd,6.0,Standard Pickup Trucks 4WD,-1.0,22.88538462,3400.0,Regular,15.0,11.0,13.0
3347,GMC,Sonoma 4WD,2003.0,6.0,Automatic 4-spd,4.3,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,18.0,14.0,15.0
3348,GMC,Sonoma 4WD,2003.0,6.0,Manual 5-spd,4.3,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,17.0,12.0,14.0
3349,Mazda,B3000 4WD,2003.0,6.0,Automatic 5-spd,3.0,Standard Pickup Trucks 4WD,-1.0,18.594375,2750.0,Regular,18.0,15.0,16.0
3350,Mazda,B3000 4WD,2003.0,6.0,Manual 5-spd,3.0,Standard Pickup Trucks 4WD,-1.0,17.50058824,2600.0,Regular,19.0,16.0,17.0
3351,Mazda,B4000 4WD,2003.0,6.0,Automatic 5-spd,4.0,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,17.0,14.0,15.0
3352,Mazda,B4000 4WD,2003.0,6.0,Manual 5-spd,4.0,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,17.0,14.0,15.0
3353,Nissan,Frontier V6 4WD,2003.0,6.0,Automatic 4-spd,3.3,Standard Pickup Trucks 4WD,-1.0,19.834,3900.0,Premium,17.0,14.0,15.0
3354,Nissan,Frontier V6 4WD,2003.0,6.0,Automatic 4-spd,3.3,Standard Pickup Trucks 4WD,-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3355,Nissan,Frontier V6 4WD,2003.0,6.0,Manual 5-spd,3.3,Standard Pickup Trucks 4WD,-1.0,21.25071429,4150.0,Premium,16.0,13.0,14.0
3356,Nissan,Frontier V6 4WD,2003.0,6.0,Manual 5-spd,3.3,Standard Pickup Trucks 4WD,-1.0,17.50058824,2600.0,Regular,19.0,15.0,17.0
3357,Toyota,Tacoma 4WD,2003.0,4.0,Automatic 4-spd,2.7,Standard Pickup Trucks 4WD,-1.0,16.52833333,2450.0,Regular,19.0,16.0,18.0
3358,Toyota,Tacoma 4WD,2003.0,4.0,Manual 5-spd,2.7,Standard Pickup Trucks 4WD,-1.0,17.50058824,2600.0,Regular,20.0,16.0,17.0
3359,Toyota,Tacoma 4WD,2003.0,6.0,Automatic 4-spd,3.4,Standard Pickup Trucks 4WD,-1.0,18.594375,2750.0,Regular,18.0,15.0,16.0
3360,Toyota,Tacoma 4WD,2003.0,6.0,Manual 5-spd,3.4,Standard Pickup Trucks 4WD,-1.0,18.594375,2750.0,Regular,18.0,15.0,16.0
3361,Toyota,Tundra 4WD,2003.0,6.0,Automatic 4-spd,3.4,Standard Pickup Trucks 4WD,-1.0,19.834,2950.0,Regular,17.0,14.0,15.0
3362,Toyota,Tundra 4WD,2003.0,6.0,Manual 5-spd,3.4,Standard Pickup Trucks 4WD,-1.0,18.594375,2750.0,Regular,18.0,15.0,16.0
3363,Toyota,Tundra 4WD,2003.0,8.0,Automatic 4-spd,4.7,Standard Pickup Trucks 4WD,-1.0,21.25071429,3150.0,Regular,16.0,13.0,14.0
3364,Chevrolet,Astro 2WD (cargo),2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,17.50058824,2600.0,Regular,21.0,15.0,17.0
3365,Chevrolet,Astro 2WD (cargo) Conversion,2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,19.834,2950.0,Regular,18.0,13.0,15.0
3366,Chevrolet,Astro AWD (cargo),2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,19.834,2950.0,Regular,18.0,14.0,15.0
3367,Chevrolet,Astro AWD (cargo) Conversion,2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,16.0,12.0,14.0
3368,Chevrolet,Van 15/25 2WD Conversion,2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,19.834,2950.0,Regular,17.0,13.0,15.0
3369,Chevrolet,Van 15/25 2WD Conversion,2003.0,8.0,Automatic 4-spd,5.3,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,17.0,12.0,14.0
3370,Chevrolet,Van 1500/2500 2WD,2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,19.834,2950.0,Regular,18.0,13.0,15.0
3371,Chevrolet,Van 1500/2500 2WD,2003.0,8.0,Automatic 4-spd,5.3,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,17.0,13.0,14.0
3372,Chevrolet,Van 1500 AWD Conversion,2003.0,8.0,Automatic 4-spd,5.3,"Vans, Cargo Type",-1.0,22.88538462,3400.0,Regular,16.0,12.0,13.0
3373,Chevrolet,Van 1500/2500 AWD,2003.0,8.0,Automatic 4-spd,5.3,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,16.0,12.0,14.0
3374,Dodge,Ram Van 1500 2WD,2003.0,6.0,Automatic 3-spd,3.9,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,15.0,13.0,14.0
3375,Dodge,Ram Van 1500 2WD,2003.0,8.0,Automatic 4-spd,5.2,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,15.0,13.0,14.0
3376,Dodge,Ram Van 1500 2WD,2003.0,8.0,Automatic 4-spd,5.9,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,17.0,12.0,14.0
3377,Dodge,Ram Van 2500 2WD,2003.0,6.0,Automatic 3-spd,3.9,"Vans, Cargo Type",-1.0,22.88538462,3400.0,Regular,13.0,12.0,13.0
3378,Dodge,Ram Van 2500 2WD,2003.0,8.0,Automatic 4-spd,5.2,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,15.0,13.0,14.0
3379,Dodge,Ram Van 2500 2WD,2003.0,8.0,Automatic 4-spd,5.9,"Vans, Cargo Type",-1.0,22.88538462,3400.0,Regular,17.0,11.0,13.0
3380,Ford,E150 Econoline 2WD,2003.0,6.0,Automatic 4-spd,4.2,"Vans, Cargo Type",-1.0,19.834,2950.0,Regular,17.0,13.0,15.0
3381,Ford,E150 Econoline 2WD,2003.0,8.0,Automatic 4-spd,4.6,"Vans, Cargo Type",-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
3382,Ford,E150 Econoline 2WD,2003.0,8.0,Automatic 4-spd,5.4,"Vans, Cargo Type",-1.0,22.88538462,3400.0,Regular,15.0,12.0,13.0
3383,Ford,E250 Econoline 2WD,2003.0,6.0,Automatic 4-spd,4.2,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,16.0,12.0,14.0
3384,Ford,E250 Econoline 2WD,2003.0,8.0,Automatic 4-spd,4.6,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,17.0,12.0,14.0
3385,Ford,E250 Econoline 2WD,2003.0,8.0,Automatic 4-spd,5.4,"Vans, Cargo Type",-1.0,22.88538462,3400.0,Regular,15.0,12.0,13.0
3386,GMC,Savana 15/25 2WD Conversion (cargo),2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,19.834,2950.0,Regular,17.0,13.0,15.0
3387,GMC,Savana 15/25 2WD Conversion (cargo),2003.0,8.0,Automatic 4-spd,5.3,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,17.0,12.0,14.0
3388,GMC,Savana 1500/2500 2WD (cargo),2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,19.834,2950.0,Regular,18.0,13.0,15.0
3389,GMC,Savana 1500/2500 2WD (cargo),2003.0,8.0,Automatic 4-spd,5.3,"Vans, Cargo Type",-1.0,19.834,2950.0,Regular,17.0,13.0,15.0
3390,GMC,Savana 15/25 AWD Conversion (cargo),2003.0,8.0,Automatic 4-spd,5.3,"Vans, Cargo Type",-1.0,22.88538462,3400.0,Regular,16.0,12.0,13.0
3391,GMC,Savana 1500/2500 AWD (cargo),2003.0,8.0,Automatic 4-spd,5.3,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,16.0,12.0,14.0
3392,GMC,Safari 2WD (cargo),2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,17.50058824,2600.0,Regular,21.0,15.0,17.0
3393,GMC,Safari 2WD Conversion (cargo),2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,19.834,2950.0,Regular,18.0,13.0,15.0
3394,GMC,Safari AWD (cargo),2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,19.834,2950.0,Regular,18.0,14.0,15.0
3395,GMC,Safari AWD Conversion (cargo),2003.0,6.0,Automatic 4-spd,4.3,"Vans, Cargo Type",-1.0,21.25071429,3150.0,Regular,16.0,12.0,14.0
3396,Chevrolet,Astro 2WD (passenger),2003.0,6.0,Automatic 4-spd,4.3,"Vans, Passenger Type",-1.0,18.594375,2750.0,Regular,19.0,14.0,16.0
